train_loss,train_acc,epoch,step,val_loss,val_acc,test_loss,test_acc
3.3156392574310303,0.125,0,0,,,,
3.0734996795654297,0.375,0,1,,,,
3.0911667346954346,0.1666666716337204,0,2,,,,
2.1147031784057617,0.4444444477558136,0,3,,,,
3.904902935028076,0.14000000059604645,0,4,,,,
,,0,4,2.1624250411987305,0.375,,
3.5233380794525146,0.11999999731779099,1,5,,,,
1.9517160654067993,0.25,1,6,,,,
2.65537428855896,0.4444444477558136,1,7,,,,
2.791153907775879,0.375,1,8,,,,
2.429471731185913,0.375,1,9,,,,
,,1,9,2.3981027603149414,0.375,,
,,2,10,,,3.5622143745422363,0.095238097012043
